SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
4SPX,C,2024-07-03,2024-12-26,176,4789.3,884.3558,14
4SPX,C,2024-07-03,2024-12-26,176,4906.44,778.1608,1
4SPX,C,2024-07-03,2024-12-26,176,5028.39,670.0691,1
4SPX,C,2024-07-03,2024-12-26,176,5028.9,669.6243,24
4SPX,C,2024-07-03,2024-12-26,176,5463.5,318.5927,1
4SPX,C,2024-07-03,2024-12-26,176,5513.5,283.4848,1
4XSP,C,2024-07-03,2024-12-26,176,482.8,84.9257,4
4XSP,C,2024-07-03,2024-12-26,176,491.7,76.8992,4
4RUT,C,2024-07-03,2024-12-27,177,2058.33,113.0773,55
4RUT,C,2024-07-03,2024-12-27,177,2094.35,94.9428,27
4RUT,C,2024-07-03,2024-12-27,177,2114.11,85.8863,28
4SPX,C,2024-07-03,2024-12-27,177,4763.8,908.6219,23
4SPX,C,2024-07-03,2024-12-27,177,4767.6,905.1412,1
4SPX,C,2024-07-03,2024-12-27,177,4770.0,902.9428,550
4SPX,C,2024-07-03,2024-12-27,177,4778.9,894.7936,52
4SPX,C,2024-07-03,2024-12-27,177,4781.58,892.3446,17
4SPX,C,2024-07-03,2024-12-27,177,4781.78,892.1619,6
4SPX,C,2024-07-03,2024-12-27,177,4783.35,890.7276,50
4SPX,C,2024-07-03,2024-12-27,177,4790.0,884.6534,4
4SPX,C,2024-07-03,2024-12-27,177,4793.8,881.1831,23
4SPX,C,2024-07-03,2024-12-27,177,4797.6,877.7144,1
4SPX,C,2024-07-03,2024-12-27,177,4837.4,841.4537,13
4SPX,C,2024-07-03,2024-12-27,177,4890.0,793.9268,125
4SPX,C,2024-07-03,2024-12-27,177,4925.42,762.1303,13
4SPX,C,2024-07-03,2024-12-27,177,4940.0,749.1397,4
4SPX,C,2024-07-03,2024-12-27,177,4973.25,719.6849,12
4SPX,C,2024-07-03,2024-12-27,177,5000.0,696.0242,125
4SPX,C,2024-07-03,2024-12-27,177,5020.66,677.8639,2
4SPX,C,2024-07-03,2024-12-27,177,5028.0,671.4441,52
4SPX,C,2024-07-03,2024-12-27,177,5065.09,639.1858,12
4SPX,C,2024-07-03,2024-12-27,177,5069.45,635.4053,6
4SPX,C,2024-07-03,2024-12-27,177,5100.0,609.1016,225
4SPX,C,2024-07-03,2024-12-27,177,5110.0,600.5693,4
4SPX,C,2024-07-03,2024-12-27,177,5150.09,566.5127,8
4SPX,C,2024-07-03,2024-12-27,177,5186.65,535.8664,2
4SPX,C,2024-07-03,2024-12-27,177,5240.0,491.8838,75
4SPX,C,2024-07-03,2024-12-27,177,5290.0,451.5175,4
4SPX,C,2024-07-03,2024-12-27,177,5295.6,447.0396,1
4SPX,C,2024-07-03,2024-12-27,177,5355.37,400.2069,4
4SPX,C,2024-07-03,2024-12-27,177,5466.9,317.3465,5
4SPX,C,2024-07-03,2024-12-27,177,5516.9,282.3191,5
