,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
160,160,2024-04-08,2NDX,C,2024-12-20,12094.78,6490.0,36,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
161,161,2024-04-08,2NDX,P,2024-12-20,12094.78,82.2222,36,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
162,162,2024-04-08,2NDX,C,2024-12-20,12150.0,6438.652,35,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
163,163,2024-04-08,2NDX,C,2024-12-20,12200.9,6391.356,44,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
164,164,2024-04-08,2NDX,P,2024-12-20,12200.9,85.9319,44,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
165,165,2024-04-08,2NDX,C,2024-12-20,12256.53,6339.688,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
166,166,2024-04-08,2NDX,P,2024-12-20,12256.53,87.9199,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
167,167,2024-04-08,2NDX,C,2024-12-20,12386.41,6219.273,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
168,168,2024-04-08,2NDX,P,2024-12-20,12386.41,92.7757,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
169,169,2024-04-08,2NDX,C,2024-12-20,12429.18,6179.684,43,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
170,170,2024-04-08,2NDX,P,2024-12-20,12429.18,94.4384,43,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
171,171,2024-04-08,2NDX,C,2024-12-20,12439.67,6169.978,210,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
172,172,2024-04-08,2NDX,P,2024-12-20,12439.67,94.8504,210,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
173,173,2024-04-08,2NDX,C,2024-12-20,12448.12,6162.161,13,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
174,174,2024-04-08,2NDX,P,2024-12-20,12448.12,95.1834,13,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
175,175,2024-04-08,2NDX,C,2024-12-20,12449.07,6161.282,106,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
176,176,2024-04-08,2NDX,P,2024-12-20,12449.07,95.221,106,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
177,177,2024-04-08,2NDX,C,2024-12-20,12572.71,6047.026,64,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
